,language,chipID,chipRow,chipColumn,term,srgbR,srgbG,srgbB
0,1,1,E,29,G,78.57825,154.92015,217.9842
1,1,2,C,23,F,154.2138,213.16215,209.42385
2,1,3,F,4,LE,219.04245,71.68815,0.0
3,1,4,I,36,WK,73.7664,35.22825,70.8339
4,1,5,C,20,F,130.28205,218.97615,191.75745
5,1,6,C,6,WK,247.5489,190.59465,144.9879
6,1,7,E,15,F,90.8871,167.7543,0.0
7,1,8,H,40,LE,136.99365,27.0453,66.23625
8,1,9,G,6,F,144.14895,81.3144,27.2085
9,1,10,I,30,LB,0.0,49.1589,102.71655
10,1,11,I,22,LB,2.6469,56.049,55.896
11,1,12,C,11,F,222.7017,204.76755,0.0
12,1,13,I,18,LB,0.0,58.90755,37.9797
13,1,14,I,26,LB,3.79185,54.3609,69.66855
14,1,15,C,35,F,226.7715,190.9899,226.2615
15,1,16,C,0,LF,202.0212,202.0926,201.9549
16,1,17,E,3,LE,235.4517,111.3075,88.8777
17,1,18,I,11,LB,53.1216,49.71735,32.4564
18,1,19,E,27,G,59.1498,159.8799,198.4002
19,1,20,F,16,LB,0.0,143.81235,23.50845
20,1,21,E,39,LE,228.47745,110.51700000000001,146.03595
21,1,22,B,10,F,248.7831,229.95135,141.678
22,1,23,F,34,WK,150.95745,104.90445,174.47355
23,1,24,H,10,LB,84.4407,71.3337,29.74065
24,1,25,G,24,LB,0.0,108.73965,119.82705
25,1,26,H,30,G,0.0,72.6495,140.6988
26,1,27,B,5,F,245.7282,225.58575,215.0313
27,1,28,E,38,LE,212.0223,120.41865,156.4017
28,1,29,D,18,F,88.54875,194.78175,147.7062
29,1,30,F,6,LE,186.915,100.266,0.0
30,1,31,C,24,F,154.16025,212.66235,214.50345
31,1,32,E,36,LE,198.0942,124.6236,182.20005
32,1,33,D,15,F,129.32325,192.6372,70.9002
33,1,34,F,28,G,0.0,132.1461,188.4297
34,1,35,D,3,LE,252.95235,146.0283,124.3023
35,1,36,I,20,LB,0.0,58.9152,47.0577
36,1,37,E,30,G,102.43095,151.07475,218.6778
37,1,38,G,39,LE,171.1662,50.64555,99.18225
38,1,39,G,16,LB,36.44715,111.5268,41.64915
39,1,40,E,25,G,0.0,164.7096,185.67315
40,1,41,H,3,LE,147.8643,6.6555,22.19265
41,1,42,E,10,F,175.9245,147.0024,0.0
42,1,43,I,29,LB,0.10455,51.6069,88.54365
43,1,44,B,40,F,241.38299999999998,225.88665,226.74345
44,1,45,E,17,LB,33.3948,170.3553,100.1334
45,1,46,F,0,LB,122.85645,122.89215,122.80799999999999
46,1,47,I,17,LB,22.51905,55.8654,38.0562
47,1,48,E,8,WK,199.31055,137.0523,0.0
48,1,49,D,25,F,103.428,188.1135,201.26895
49,1,50,I,35,LB,70.3239,36.72,74.18715
50,1,51,H,8,LB,99.02925,65.7288,7.9611
51,1,52,B,16,LF,213.34575,235.8393,208.8603
52,1,53,H,39,LE,133.6812,29.7126,77.8362
53,1,54,G,15,LB,58.1553,109.6194,19.8849
54,1,55,E,24,G,0.0,165.92595,177.0108
55,1,56,C,4,F,253.59495,186.6855,161.38695
56,1,57,H,24,LB,0.0,82.7475,95.64795
57,1,58,F,10,WK,145.80135,120.87765,0.0
58,1,59,C,34,F,210.93345,196.9518,223.23465
59,1,60,I,25,LB,0.0,55.01625,66.75135
60,1,61,H,2,LE,138.7863,28.45545,43.04145
61,1,62,E,32,G,149.5677,142.2543,200.4198
62,1,63,D,1,LE,237.3387,152.27325,154.02
63,1,64,G,29,G,0.0,101.95155,164.1741
64,1,65,F,39,LE,211.446,69.3192,122.5989
65,1,66,B,8,LF,243.18075,227.6079,202.05435
66,1,67,C,18,F,137.92695,218.8818,177.77835
67,1,68,E,37,LE,205.1067,122.50965,170.5593
68,1,69,G,12,LB,101.9694,100.09515,17.59245
69,1,70,C,32,LF,201.16185,199.58595,227.1183
70,1,71,I,1,LE,96.2115,17.05185,46.2672
71,1,72,G,19,LB,0.0,116.56305,81.6255
72,1,73,H,34,F,103.1322,49.13085,123.21855
73,1,74,C,26,LF,160.80555,210.3852,223.16325
74,1,75,I,16,LB,28.2846,55.437,32.3493
75,1,76,F,5,LE,201.17715,89.78295,0.0
76,1,77,F,24,LB,0.0,138.6792,152.19675
77,1,78,C,36,F,233.46015,189.0927,220.69995
78,1,79,H,0,LB,72.39705,72.4149,72.36135
79,1,80,G,28,LB,0.0,105.67965,162.10605
80,1,81,E,14,F,127.3011,161.19825,0.0
81,1,82,D,22,G,56.46465,194.77665,182.47799999999998
82,1,83,B,9,F,249.56085,227.7864,172.4514
83,1,84,C,3,LE,253.75305,185.81085,170.60775
84,1,85,F,18,LB,0.0,143.61345,94.74015
85,1,86,D,37,LE,234.6153,148.53495,196.42905
86,1,87,I,13,LB,48.1746,51.0051,35.6439
87,1,88,G,36,LE,151.21755,62.46735,138.55425
