,h,v,r,hue,sat,lum,x,y
1,35.4331,0,66.5,180,50,50,100,100
2,53.14965,-61.3714,83.25,90,75,30,200,100
3,17.71655,61.3714,49.75,270,25,70,300,100
4,26.574825,-30.6857,74.875,45,87.5,80,400,100
5,62.007925,92.0571,41.375,225,37.5,40,500,100
6,44.291375,-92.0571,58.125,135,12.5,60,600,100
7,8.858275,30.6857,91.625,315,62.5,20,700,100
8,13.2874125,-46.02855,53.9375,247.5,56.25,25,800,100
9,48.7205125,76.71425,87.4375,67.5,6.25,65,900,100
10,66.4370625,-107.39995,70.6875,337.5,31.25,45,1000,100
11,31.0039625,15.34285,37.1875,157.5,81.25,85,1100,100
12,22.1456875,-76.71425,95.8125,202.5,43.75,75,1200,100
13,57.5787875,46.02855,62.3125,22.5,93.75,35,1300,100
14,39.8622375,-15.34285,45.5625,292.5,68.75,55,1400,100
15,4.4291375,107.39995,79.0625,112.5,18.75,15,1500,100
16,6.64370625,-7.671425,89.53125,146.25,28.125,37.5,1600,100
17,42.07680625,115.071375,56.03125,326.25,78.125,77.5,1700,100
18,59.79335625,-69.042825,39.28125,56.25,53.125,17.5,1800,100
19,24.36025625,53.699975,72.78125,236.25,3.125,57.5,100,200
20,33.21853125,-99.728525,64.40625,101.25,65.625,67.5,200,200
21,68.65163125,23.014275,97.90625,281.25,15.625,27.5,300,200
22,50.93508125,-38.357125,81.15625,11.25,40.625,87.5,400,200
23,15.50198125,84.385675,47.65625,191.25,90.625,47.5,500,200
24,11.07284375,-84.385675,68.59375,303.75,84.375,42.5,600,200
25,46.50594375,38.357125,35.09375,123.75,34.375,82.5,700,200
26,64.22249375,-23.014275,51.84375,213.75,9.375,22.5,800,200
27,28.78939375,99.728525,85.34375,33.75,59.375,62.5,900,200
28,19.93111875,-53.699975,43.46875,348.75,21.875,52.5,1000,200
29,55.36421875,69.042825,76.96875,168.75,71.875,12.5,1100,200
30,37.64766875,-115.071375,93.71875,258.75,96.875,72.5,1200,200
31,2.21456875,7.671425,60.21875,78.75,46.875,32.5,1300,200
32,3.321853125,-57.5356875,73.828125,208.125,70.3125,61.25,1400,200
33,38.75495313,65.2071125,40.328125,28.125,20.3125,21.25,1500,200
34,56.47150313,-118.9070875,57.078125,298.125,45.3125,81.25,1600,200
35,21.03840313,3.8357125,90.578125,118.125,95.3125,41.25,1700,200
36,29.89667813,-88.2213875,48.703125,253.125,32.8125,31.25,1800,200
37,65.32977813,34.5214125,82.203125,73.125,82.8125,71.25,100,300
38,47.61322813,-26.8499875,98.953125,343.125,57.8125,11.25,200,300
39,12.18012813,95.8928125,65.453125,163.125,7.8125,51.25,300,300
40,16.60926563,-103.5642375,86.390625,50.625,14.0625,56.25,400,300
41,52.04236563,19.1785625,52.890625,230.625,64.0625,16.25,500,300
42,69.75891563,-42.1928375,36.140625,140.625,89.0625,76.25,600,300
43,34.32581563,80.5499625,69.640625,320.625,39.0625,36.25,700,300
