"","h","v","r","hue","sat","light","x","y"
"1",0,-122.7,33,0,92.5,52.5,100,100
"2",18,-122.7,33,0,92.5,52.5,200,100
"3",70.8,-122.7,33,0,92.5,52.5,300,100
"4",0,-56,33,0,92.5,52.5,400,100
"5",18,-56,33,0,92.5,52.5,500,100
"6",70.8,-56,33,0,92.5,52.5,600,100
"7",0,0,33,0,92.5,52.5,700,100
"8",18,0,33,0,92.5,52.5,800,100
"9",70.8,0,33,0,92.5,52.5,900,100
"10",0,42,33,0,92.5,52.5,1000,100
"11",18,42,33,0,92.5,52.5,1100,100
"12",70.8,42,33,0,92.5,52.5,1200,100
"13",0,-122.7,87,0,92.5,52.5,1300,100
"14",18,-122.7,87,0,92.5,52.5,1400,100
"15",70.8,-122.7,87,0,92.5,52.5,1500,100
"16",0,-56,87,0,92.5,52.5,1600,100
"17",18,-56,87,0,92.5,52.5,1700,100
"18",70.8,-56,87,0,92.5,52.5,1800,100
"19",0,0,87,0,92.5,52.5,1900,100
"20",18,0,87,0,92.5,52.5,2000,100
"21",70.8,0,87,0,92.5,52.5,2100,100
"22",0,42,87,0,92.5,52.5,2200,100
"23",18,42,87,0,92.5,52.5,2300,100
"24",70.8,42,87,0,92.5,52.5,2400,100
"25",0,-122.7,100,0,92.5,52.5,2500,100
"26",18,-122.7,100,0,92.5,52.5,100,200
"27",70.8,-122.7,100,0,92.5,52.5,200,200
"28",0,-56,100,0,92.5,52.5,300,200
"29",18,-56,100,0,92.5,52.5,400,200
"30",70.8,-56,100,0,92.5,52.5,500,200
"31",0,0,100,0,92.5,52.5,600,200
"32",18,0,100,0,92.5,52.5,700,200
"33",70.8,0,100,0,92.5,52.5,800,200
"34",0,42,100,0,92.5,52.5,900,200
"35",18,42,100,0,92.5,52.5,1000,200
"36",70.8,42,100,0,92.5,52.5,1100,200
"37",0,-122.7,33,27.5,92.5,52.5,1200,200
"38",18,-122.7,33,27.5,92.5,52.5,1300,200
"39",70.8,-122.7,33,27.5,92.5,52.5,1400,200
"40",0,-56,33,27.5,92.5,52.5,1500,200
"41",18,-56,33,27.5,92.5,52.5,1600,200
"42",70.8,-56,33,27.5,92.5,52.5,1700,200
"43",0,0,33,27.5,92.5,52.5,1800,200
"44",18,0,33,27.5,92.5,52.5,1900,200
"45",70.8,0,33,27.5,92.5,52.5,2000,200
"46",0,42,33,27.5,92.5,52.5,2100,200
"47",18,42,33,27.5,92.5,52.5,2200,200
"48",70.8,42,33,27.5,92.5,52.5,2300,200
"49",0,-122.7,87,27.5,92.5,52.5,2400,200
"50",18,-122.7,87,27.5,92.5,52.5,2500,200
"51",70.8,-122.7,87,27.5,92.5,52.5,100,300
"52",0,-56,87,27.5,92.5,52.5,200,300
"53",18,-56,87,27.5,92.5,52.5,300,300
"54",70.8,-56,87,27.5,92.5,52.5,400,300
"55",0,0,87,27.5,92.5,52.5,500,300
"56",18,0,87,27.5,92.5,52.5,600,300
"57",70.8,0,87,27.5,92.5,52.5,700,300
"58",0,42,87,27.5,92.5,52.5,800,300
"59",18,42,87,27.5,92.5,52.5,900,300
"60",70.8,42,87,27.5,92.5,52.5,1000,300
"61",0,-122.7,100,27.5,92.5,52.5,1100,300
"62",18,-122.7,100,27.5,92.5,52.5,1200,300
"63",70.8,-122.7,100,27.5,92.5,52.5,1300,300
"64",0,-56,100,27.5,92.5,52.5,1400,300
"65",18,-56,100,27.5,92.5,52.5,1500,300
"66",70.8,-56,100,27.5,92.5,52.5,1600,300
"67",0,0,100,27.5,92.5,52.5,1700,300
"68",18,0,100,27.5,92.5,52.5,1800,300
